Id_Promozione,Data_Inizio,Data_Fine,Brand,Percentuale_Sconto,Modello
150261,2021-09-24,2021-10-20,GMC,25,Sonoma
150262,2021-12-17,2022-01-06,Pontiac,11,Firebird
150263,2022-04-11,2022-05-04,Mercury,30,Mountaineer
150264,2022-02-14,2022-03-10,GMC,28,2500
150265,2022-06-28,2022-07-07,Mercury,22,Cougar
150266,2022-06-26,2022-06-29,Infiniti,15,G
150267,2022-05-20,2022-06-17,Suzuki,21,Swift
150268,2022-05-25,2022-06-22,"Land Rover",7,Discovery
150269,2021-09-27,2021-10-21,Acura,22,SLX
150270,2021-12-10,2021-12-15,Volkswagen,23,Jetta
150271,2022-05-16,2022-06-03,Volvo,27,XC60
150272,2022-06-20,2022-07-11,Dodge,18,Ram
150273,2022-01-15,2022-02-07,Mitsubishi,30,Lancer
150274,2022-04-05,2022-04-24,Chevrolet,30,Tahoe
150275,2022-01-16,2022-02-05,Volvo,13,S40
150276,2022-04-29,2022-05-09,Ford,14,"Escort ZX2"
150277,2022-02-02,2022-02-25,Dodge,28,"Ram 2500"
150278,2022-02-04,2022-02-13,Audi,30,A4
150279,2022-04-17,2022-04-19,BMW,24,"X5 M"
150280,2022-06-28,2022-07-17,Buick,27,LeSabre
150281,2022-06-16,2022-07-01,Volvo,21,S80
150282,2021-09-28,2021-10-18,Lexus,21,ES
150283,2022-01-23,2022-02-22,Subaru,30,Outback
150284,2021-11-04,2021-11-17,Dodge,19,"Ram Van B350"
150285,2022-04-01,2022-04-25,Mercedes-Benz,30,S-Class
150286,2021-09-02,2021-09-04,Bentley,15,"Continental GT"
150287,2021-10-14,2021-11-03,Audi,5,100
150288,2022-07-16,2022-07-29,Chevrolet,8,"Express 3500"
150289,2022-03-05,2022-03-06,Oldsmobile,6,Bravada
150290,2021-10-01,2021-10-22,Mercedes-Benz,23,"SLS AMG"
150291,2021-09-24,2021-10-01,Rolls-Royce,29,Phantom
150292,2021-12-29,2022-01-03,Lexus,22,ES
150293,2021-10-11,2021-10-31,Acura,17,CL
150294,2021-09-09,2021-09-12,Mitsubishi,24,GTO
150295,2021-10-31,2021-11-14,Volvo,15,XC70
150296,2022-04-11,2022-04-22,Suzuki,17,Equator
150297,2021-12-16,2022-01-06,Audi,11,S4
150298,2022-01-13,2022-02-11,Spyker,21,"C8 Double 12 S"
150299,2022-04-16,2022-05-05,Suzuki,20,Reno
150300,2021-10-28,2021-11-21,Mercedes-Benz,13,E-Class
150301,2022-06-02,2022-07-02,Chevrolet,17,Impala
150302,2021-09-19,2021-10-09,"Aston Martin",7,"V8 Vantage S"
150303,2021-11-15,2021-12-14,Infiniti,19,FX
150304,2021-12-26,2022-01-02,Dodge,5,Charger
150305,2021-11-14,2021-12-09,Infiniti,20,Q
150306,2022-07-05,2022-07-06,Porsche,5,Cayman
150307,2022-05-16,2022-05-24,Pontiac,10,Fiero
150308,2021-12-27,2021-12-29,Volkswagen,27,rio
150309,2021-11-25,2021-12-04,Kia,22,Optima
150310,2021-10-20,2021-11-09,Toyota,10,Matrix
150311,2021-09-21,2021-09-22,Pontiac,22,Gemini
150312,2021-09-25,2021-10-16,Dodge,30,"Ram 2500"
150313,2022-07-26,2022-08-06,Suzuki,15,Equator
150314,2021-11-09,2021-11-29,Pontiac,9,"Grand Am"
150315,2022-06-05,2022-06-26,Cadillac,14,STS
150316,2022-04-06,2022-04-22,Infiniti,14,FX
150317,2022-01-04,2022-01-28,Oldsmobile,10,88
150318,2022-06-25,2022-06-30,Mercedes-Benz,14,M-Class
150319,2021-09-03,2021-09-14,Jeep,19,Cherokee
150320,2022-04-18,2022-05-13,Volvo,17,V50
150321,2021-09-12,2021-09-13,Ford,9,Windstar
150322,2022-05-30,2022-06-10,Chevrolet,5,"Suburban 1500"
150323,2022-01-12,2022-01-26,Mazda,26,MX-5
150324,2022-07-02,2022-08-01,BMW,14,"6 Series"
150325,2022-07-12,2022-07-14,Mitsubishi,28,Galant
150326,2022-04-09,2022-05-06,Jaguar,10,XJ
150327,2022-04-12,2022-04-21,Panoz,30,Esperante
150328,2021-11-18,2021-11-27,Cadillac,12,DeVille
150329,2022-02-18,2022-03-10,Chevrolet,5,"Silverado 2500"
150330,2021-09-07,2021-09-28,Saab,11,9000
150331,2021-10-22,2021-11-11,Toyota,18,Tacoma
150332,2022-06-25,2022-06-28,Hyundai,5,Veracruz
150333,2022-01-16,2022-02-05,Chrysler,17,Imperial
150334,2022-02-12,2022-02-24,Toyota,20,T100
150335,2021-09-09,2021-09-30,Chevrolet,25,"Silverado 1500"
150336,2022-04-24,2022-05-24,Jeep,23,Wrangler
150337,2022-01-01,2022-01-27,Ford,10,Thunderbird
150338,2022-02-24,2022-03-09,Mazda,27,B-Series
150339,2022-05-05,2022-05-06,Ford,15,Bronco
150340,2021-09-02,2021-10-01,Jaguar,6,S-Type
150341,2022-02-13,2022-03-15,Volkswagen,28,GLI
150342,2021-10-19,2021-10-31,Dodge,9,"Ram 50"
150343,2022-04-24,2022-05-19,Toyota,21,4Runner
150344,2022-03-23,2022-04-13,Mitsubishi,14,Truck
150345,2021-09-05,2021-10-01,Jaguar,11,"XK Series"
150346,2021-09-11,2021-09-22,BMW,24,"3 Series"
150347,2022-01-30,2022-02-09,Oldsmobile,5,Achieva
150348,2021-11-28,2021-12-27,"Land Rover",29,"Range Rover"
150349,2022-03-27,2022-04-01,Buick,27,Terraza
150350,2022-06-16,2022-06-18,Mercury,12,Sable
150351,2021-11-06,2021-12-05,Pontiac,22,Firebird
150352,2022-05-22,2022-05-31,Isuzu,21,VehiCROSS
150353,2021-09-30,2021-10-19,Buick,28,LeSabre
150354,2022-02-02,2022-02-26,BMW,28,"5 Series"
150355,2021-10-14,2021-10-18,Chevrolet,19,Avalanche
150356,2022-06-11,2022-06-27,Saturn,13,L-Series
150357,2022-01-13,2022-01-30,Mitsubishi,13,Eclipse
150358,2021-09-09,2021-09-18,Chrysler,6,Crossfire
150359,2021-12-03,2021-12-23,Pontiac,18,Sunfire
150360,2021-11-14,2021-11-19,Toyota,24,Tundra
150361,2022-06-24,2022-07-05,Chevrolet,7,Express
150362,2021-10-08,2021-10-10,Porsche,11,Boxster
150363,2022-06-02,2022-06-21,Pontiac,22,"Grand Prix"
150364,2022-03-12,2022-03-18,Chevrolet,26,"Silverado 2500"
150365,2022-03-19,2022-03-21,Audi,26,A6
150366,2021-10-15,2021-10-24,Pontiac,20,6000
150367,2022-06-14,2022-07-10,Hyundai,20,Accent
150368,2021-09-10,2021-09-29,Audi,26,S8
150369,2022-02-17,2022-02-20,Maybach,11,62
150370,2022-03-17,2022-03-26,BMW,6,"X6 M"
150371,2021-12-19,2021-12-28,Oldsmobile,10,Bravada
150372,2022-01-24,2022-02-11,Mercury,29,Cougar
150373,2022-07-04,2022-07-14,Chevrolet,6,"Express 1500"
150374,2022-01-30,2022-02-22,Isuzu,13,VehiCROSS
150375,2021-10-02,2021-10-05,Pontiac,13,GTO
150376,2021-10-11,2021-11-08,Dodge,15,"Ram 1500"
150377,2021-11-14,2021-11-27,MINI,21,Cooper
150378,2021-10-03,2021-10-10,Ford,7,"Crown Victoria"
150379,2021-10-21,2021-11-18,Dodge,20,Journey
150380,2022-01-02,2022-01-19,Dodge,26,Spirit
150381,2021-11-09,2021-11-20,Scion,11,xB
150382,2021-09-04,2021-09-29,Cadillac,8,Eldorado
150383,2022-05-30,2022-06-03,Audi,22,A4
150384,2022-03-13,2022-04-11,Mercedes-Benz,16,CLS-Class
150385,2022-07-17,2022-08-12,Mercedes-Benz,16,M-Class
150386,2022-07-10,2022-07-20,Buick,7,Somerset
150387,2022-06-23,2022-07-11,Dodge,8,"D250 Club"
150388,2022-07-06,2022-08-05,Ford,22,Escape
150389,2021-09-16,2021-09-27,Pontiac,5,Firebird
150390,2022-07-26,2022-08-05,Buick,9,Roadmaster
150391,2021-09-22,2021-10-05,Suzuki,7,XL-7
150392,2022-06-18,2022-07-02,Mercedes-Benz,22,M-Class
150393,2022-01-30,2022-02-06,GMC,22,"Savana 3500"
150394,2022-02-02,2022-02-07,GMC,14,Yukon
150395,2021-12-17,2021-12-24,Hyundai,26,Elantra
150396,2022-02-13,2022-02-27,Chevrolet,28,"Silverado 2500"
150397,2022-07-26,2022-08-24,Jaguar,21,S-Type
150398,2022-04-10,2022-04-20,Chevrolet,29,Camaro
150399,2021-09-08,2021-09-24,Hummer,7,H2
150400,2022-03-28,2022-04-10,Porsche,21,911
150401,2021-12-07,2021-12-28,Suzuki,17,Samurai
150402,2022-06-08,2022-06-18,Ford,22,Edge
150403,2022-05-11,2022-05-21,Acura,29,TL
150404,2021-10-02,2021-10-15,GMC,23,"Sierra 2500"
150405,2022-07-29,2022-08-12,Ford,18,Windstar
150406,2021-12-01,2021-12-10,Acura,27,TL
150407,2022-06-26,2022-07-17,Toyota,26,"Tacoma Xtra"
150408,2021-12-29,2022-01-07,GMC,26,Jimmy
150409,2022-01-04,2022-01-22,Dodge,15,Stealth
150410,2022-06-18,2022-06-23,Eagle,19,Talon
150411,2022-06-09,2022-06-29,Toyota,22,Avalon
150412,2022-01-03,2022-01-09,Oldsmobile,17,Aurora
150413,2022-03-15,2022-03-26,Kia,17,Rondo
150414,2022-02-07,2022-03-06,BMW,5,M3
150415,2022-01-10,2022-01-25,Ford,15,Laser
150416,2022-05-27,2022-06-19,Toyota,7,Solara
150417,2022-01-18,2022-01-31,Ford,26,"Transit Connect"
150418,2022-04-27,2022-05-09,Dodge,14,"Ram 3500"
150419,2022-07-16,2022-07-26,Ford,19,F250
150420,2022-05-15,2022-06-02,Volkswagen,11,"Golf III"
150421,2022-05-27,2022-06-13,Isuzu,16,Ascender
150422,2022-07-09,2022-08-01,BMW,29,"1 Series"
150423,2021-10-05,2021-11-04,Volkswagen,6,Cabriolet
150424,2022-04-11,2022-04-17,Chevrolet,9,"G-Series 3500"
150425,2022-06-30,2022-07-20,Suzuki,30,Forenza
150426,2021-12-21,2022-01-20,Toyota,6,Corolla
150427,2021-11-11,2021-11-17,Toyota,13,Camry
150428,2021-09-29,2021-10-06,Ford,12,Windstar
150429,2022-05-16,2022-06-09,Mercedes-Benz,6,S-Class
150430,2022-02-15,2022-03-17,Ford,11,Freestar
150431,2022-06-05,2022-06-10,Oldsmobile,20,Alero
150432,2022-05-27,2022-06-08,Ford,5,Thunderbird
150433,2021-11-15,2021-12-02,Nissan,9,Pathfinder
150434,2022-06-04,2022-06-22,Cadillac,11,Escalade
150435,2022-01-05,2022-01-20,Saab,7,900
150436,2021-12-01,2021-12-19,Ferrari,21,F430
150437,2021-12-03,2022-01-02,Chevrolet,14,Tracker
150438,2021-11-17,2021-11-26,Dodge,24,"Grand Caravan"
150439,2022-04-17,2022-05-11,GMC,25,Yukon
150440,2022-03-31,2022-04-21,GMC,6,Yukon
150441,2022-03-10,2022-04-01,Ford,11,F250
150442,2022-02-08,2022-02-24,Dodge,5,"Ram 1500"
150443,2022-07-14,2022-07-27,Chevrolet,13,Impala
150444,2022-02-08,2022-02-22,Chevrolet,14,HHR
150445,2021-10-12,2021-10-22,Volkswagen,11,Passat
150446,2022-07-02,2022-07-19,Ford,22,Ranger
150447,2022-06-06,2022-06-08,Ford,18,Tempo
150448,2022-07-07,2022-07-30,Mazda,22,"B-Series Plus"
150449,2022-05-24,2022-05-30,Chevrolet,16,Tahoe
150450,2022-03-05,2022-03-26,Jaguar,6,X-Type
150451,2021-10-31,2021-11-10,Ford,28,Mustang
150452,2022-07-20,2022-08-08,Chevrolet,20,Impala
150453,2021-12-09,2021-12-30,Buick,6,Skylark
150454,2021-10-24,2021-10-29,"Land Rover",5,"Defender 90"
150455,2022-06-27,2022-07-09,Hyundai,15,Scoupe
150456,2022-05-22,2022-05-25,Oldsmobile,10,Intrigue
150457,2021-12-17,2021-12-27,Audi,23,5000S
150458,2021-09-08,2021-09-12,Suzuki,29,SJ
150459,2022-06-24,2022-06-30,Volkswagen,12,Passat
150460,2021-12-15,2021-12-29,Ford,28,Explorer
150461,2021-11-30,2021-12-22,BMW,25,"7 Series"
150462,2022-07-17,2022-07-21,Suzuki,7,Swift
