V_Id_Pagamento,prezzo,Ammontare_Senza_Iva,Aliquota_Iva,Metodo_Pagamento,Conto_Appoggio,Id_Vendita
700118,3422049.61,3429312.6099999999,4,Assegno,Banca Popolare,800118
700119,8584661,8586543,22,Carta di Credito,Banca Popolare,800119
700120,4006251.8,4013274.7999999998,4,Contanti,Intesa San Paolo,800120
700121,2999955.26,3009388.2599999998,22,Assegno,Intesa San Paolo,800121
700122,4384849,4386842,22,Bonifico,Unicredit,800122
700123,3237448,3243077,22,Carta di Credito,Banca Popolare,800123
700124,8367269.31,8370432.3099999996,22,Assegno,Intesa San Paolo,800124
700125,1124979,1133826,22,Bonifico,Intesa San Paolo,800125
700126,7851655,7855568,4,Contanti,Intesa San Paolo,800126
700127,6629744,6631048,4,Assegno,Banca Popolare,800127
700128,3418147.61,3423349.6099999999,22,Assegno,Unicredit,800128
700129,8484055,8485057,22,Contanti,Intesa San Paolo,800129
700130,3939914.68,3944570.6800000002,22,Assegno,Intesa San Paolo,800130
700131,2000435.1,2005744.1000000001,4,Carta di Credito,Unicredit,800131
700132,9958899,9962453,22,Bonifico,Intesa San Paolo,800132
700133,9317600,9320577,22,Carta di Credito,Intesa San Paolo,800133
700134,1130310.09,1131479.0900000001,4,Bonifico,Intesa San Paolo,800134
700135,9711842,9717605,22,Assegno,Unicredit,800135
700136,4062479.42,4064500.4199999999,22,Bonifico,Unicredit,800136
700137,5505185,5514582,4,Contanti,Unicredit,800137
700138,5839210,5848954,4,Bonifico,Unicredit,800138
700139,9754656,9758659,4,Carta di Credito,Unicredit,800139
700140,5704180,5709976,22,Carta di Credito,Unicredit,800140
700141,7100925,7105032,4,Carta di Credito,Unicredit,800141
700142,1391103.25,1395132.25,4,Contanti,Unicredit,800142
700143,3118601,3126778,4,Bonifico,Unicredit,800143
700144,5516513,5518282,4,Assegno,Intesa San Paolo,800144
700145,6617965,6623312,22,Contanti,Banca Popolare,800145
700146,2808687.18,2811525.1800000002,4,Carta di Credito,Banca Popolare,800146
700147,8711142,8718324,4,Contanti,Intesa San Paolo,800147
700148,1128489.36,1132455.3600000001,22,Bonifico,Banca Popolare,800148
700149,4856877,4863136,4,Bonifico,Banca Popolare,800149
700150,3797074,3798618,22,Carta di Credito,Banca Popolare,800150
700151,3079329.94,3085357.9399999999,22,Carta di Credito,Banca Popolare,800151
700152,2110945.09,2113553.0899999999,22,Assegno,Banca Popolare,800152
700153,1649542,1656630,22,Contanti,Unicredit,800153
700154,9954817,9956157,22,Carta di Credito,Intesa San Paolo,800154
700155,1740346.81,1741361.8100000001,22,Carta di Credito,Intesa San Paolo,800155
700156,1381635.57,1390578.5700000001,22,Contanti,Banca Popolare,800156
700157,8877526,8884692,4,Contanti,Banca Popolare,800157
700158,2893837.42,2898501.4199999999,4,Carta di Credito,Intesa San Paolo,800158
700159,50437.07,53494.07,22,Bonifico,Unicredit,800159
700160,5151782.79,5153120.79,22,Assegno,Intesa San Paolo,800160
700161,4737068.84,4746758.8399999999,22,Bonifico,Unicredit,800161
700162,5442766,5443872,22,Bonifico,Banca Popolare,800162
700163,5141811.49,5150120.4900000002,4,Bonifico,Intesa San Paolo,800163
700164,8326275.31,8334871.3099999996,22,Carta di Credito,Unicredit,800164
700165,8392024,8401398,4,Bonifico,Unicredit,800165
700166,8727161,8732240,22,Carta di Credito,Intesa San Paolo,800166
700167,3081577,3087182,22,Bonifico,Intesa San Paolo,800167
700168,9178618,9183052,22,Contanti,Unicredit,800168
700169,7909169,7911725,22,Carta di Credito,Banca Popolare,800169
700170,4845132.54,4854614.54,4,Contanti,Intesa San Paolo,800170
700171,5457335.64,5464038.6399999997,4,Contanti,Intesa San Paolo,800171
700172,2514575,2520309,22,Bonifico,Intesa San Paolo,800172
700173,6933119,6935732,22,Bonifico,Intesa San Paolo,800173
700174,4042362.68,4045481.6800000002,22,Carta di Credito,Unicredit,800174
700175,4195562,4201756,4,Contanti,Banca Popolare,800175
700176,4681255,4684345,4,Contanti,Banca Popolare,800176
700177,9095966,9100449,4,Bonifico,Intesa San Paolo,800177
700178,7767792.5,7773788.5,22,Bonifico,Unicredit,800178
700179,7738241.06,7740100.0599999996,22,Bonifico,Intesa San Paolo,800179
700180,4974445.08,4980180.0800000001,22,Contanti,Intesa San Paolo,800180
700181,5740672,5747716,22,Carta di Credito,Intesa San Paolo,800181
700182,2192376.56,2195774.5600000001,4,Bonifico,Intesa San Paolo,800182
700183,3490167.8,3499246.7999999998,22,Contanti,Intesa San Paolo,800183
700184,2208552,2217097,22,Contanti,Intesa San Paolo,800184
700185,1061262.56,1067478.5600000001,22,Carta di Credito,Banca Popolare,800185
700186,3272325,3278722,22,Contanti,Unicredit,800186
700187,9206577,9215141,4,Assegno,Unicredit,800187
700188,8273691.08,8282658.0800000001,4,Carta di Credito,Unicredit,800188
700189,3453643.8,3455779.7999999998,4,Bonifico,Banca Popolare,800189
700190,5739904,5747579,22,Carta di Credito,Banca Popolare,800190
700191,9241982,9245315,22,Assegno,Unicredit,800191
700192,1236302.04,1239534.04,4,Bonifico,Unicredit,800192
700193,3135604.89,3138821.8900000001,4,Bonifico,Unicredit,800193
700194,9429717,9435160,22,Bonifico,Intesa San Paolo,800194
700195,6010638.62,6015325.6200000001,4,Contanti,Unicredit,800195
700196,4563134.77,4565696.7699999996,4,Carta di Credito,Unicredit,800196
700197,3223200.18,3232951.1800000002,22,Assegno,Banca Popolare,800197
700198,6773138.71,6775612.71,4,Contanti,Banca Popolare,800198
700199,7855487,7861118,22,Contanti,Unicredit,800199
700200,2395836.9,2397239.8999999999,22,Bonifico,Banca Popolare,800200
700201,442753.66,451778.66,4,Bonifico,Banca Popolare,800201
700202,4259408,4266700,22,Assegno,Unicredit,800202
700203,1707843,1715006,22,Contanti,Unicredit,800203
700204,8967432,8975902,22,Bonifico,Intesa San Paolo,800204
700205,6762905.29,6766649.29,22,Contanti,Banca Popolare,800205
700206,3475035.58,3481451.5800000001,4,Contanti,Banca Popolare,800206
700207,6380720.05,6382607.0499999998,4,Contanti,Intesa San Paolo,800207
700208,862999.69,865073.6899999999,4,Carta di Credito,Unicredit,800208
700209,3453374,3461222,22,Contanti,Unicredit,800209
700210,3914231.08,3915636.0800000001,4,Carta di Credito,Banca Popolare,800210
700211,1533697.86,1536930.8600000001,4,Contanti,Unicredit,800211
700212,6282944.72,6289123.7199999997,4,Bonifico,Unicredit,800212
700213,359857.83,368983.83,4,Carta di Credito,Intesa San Paolo,800213
700214,9616785,9626297,22,Assegno,Intesa San Paolo,800214
700215,8704189,8707754,22,Assegno,Intesa San Paolo,800215
700216,2649144.69,2657554.6899999999,22,Bonifico,Unicredit,800216
700217,4309253.17,4315528.1699999999,22,Carta di Credito,Unicredit,800217
700218,5641290.53,5644443.5300000003,4,Carta di Credito,Intesa San Paolo,800218
700219,8469177,8472295,4,Assegno,Banca Popolare,800219
700220,9401228,9409574,4,Assegno,Banca Popolare,800220
700221,2118641,2126762,4,Bonifico,Unicredit,800221
700222,4378167.09,4382782.0899999999,4,Contanti,Banca Popolare,800222
700223,4923207.67,4924715.6699999999,4,Contanti,Intesa San Paolo,800223
700224,1526529.06,1528433.0600000001,4,Carta di Credito,Intesa San Paolo,800224
700225,7229876.64,7233957.6399999997,22,Carta di Credito,Intesa San Paolo,800225
700226,6043537,6053042,4,Contanti,Intesa San Paolo,800226
700227,8771619,8774070,4,Contanti,Unicredit,800227
700228,5315908.73,5323953.7300000004,4,Bonifico,Banca Popolare,800228
700229,7304619,7305827,22,Carta di Credito,Unicredit,800229
700230,4820641,4823649,4,Carta di Credito,Banca Popolare,800230
700231,6143550.48,6148955.4800000004,22,Bonifico,Banca Popolare,800231
700232,5857318.54,5863749.54,4,Assegno,Banca Popolare,800232
700233,9712389,9721918,4,Contanti,Intesa San Paolo,800233
700234,8338830.68,8347160.6799999997,4,Carta di Credito,Intesa San Paolo,800234
700235,6094734,6103130,22,Bonifico,Intesa San Paolo,800235
700236,3446055.15,3453055.1499999999,22,Carta di Credito,Banca Popolare,800236
700237,7085319,7090474,4,Carta di Credito,Banca Popolare,800237
700238,3976294.85,3978049.8500000001,22,Bonifico,Unicredit,800238
700239,2670356,2677561,4,Carta di Credito,Banca Popolare,800239
700240,3674149.68,3679624.6800000002,22,Carta di Credito,Intesa San Paolo,800240
700241,5996165.36,6003504.3600000003,22,Carta di Credito,Unicredit,800241
700242,7092965.39,7101867.3899999997,22,Assegno,Intesa San Paolo,800242
700243,9127969,9131842,22,Carta di Credito,Banca Popolare,800243
700244,8132553,8135230,4,Contanti,Banca Popolare,800244
700245,754587.25,762140.25,22,Assegno,Intesa San Paolo,800245
700246,7500588,7506496,4,Assegno,Banca Popolare,800246
700247,3294265.55,3301020.5499999998,4,Assegno,Unicredit,800247
700248,6849356,6852696,22,Bonifico,Unicredit,800248
700249,9452965,9456070,22,Assegno,Intesa San Paolo,800249
700250,2129337.61,2138743.6099999999,22,Bonifico,Intesa San Paolo,800250
700251,5522263,5529747,22,Contanti,Intesa San Paolo,800251
700252,9943332,9949493,4,Assegno,Intesa San Paolo,800252
700253,9626010,9632654,4,Contanti,Banca Popolare,800253
700254,3427658.17,3436133.1699999999,4,Contanti,Intesa San Paolo,800254
700255,1007146.36,1010883.36,4,Assegno,Unicredit,800255
700256,6548088.9,6553050.9000000004,4,Bonifico,Banca Popolare,800256
700257,6954264.46,6956558.46,4,Assegno,Banca Popolare,800257
700258,8422402,8426664,22,Carta di Credito,Intesa San Paolo,800258
700259,4368165.24,4377700.2400000002,4,Assegno,Unicredit,800259
700260,6605564.5,6615269.5,22,Contanti,Intesa San Paolo,800260
700261,4685076,4689026,22,Assegno,Intesa San Paolo,800261
700262,2949273.78,2957534.7799999998,22,Bonifico,Banca Popolare,800262
700263,2542449.77,2545966.77,22,Contanti,Banca Popolare,800263
700264,4470132,4472455,4,Bonifico,Banca Popolare,800264
700265,9662981,9669312,4,Contanti,Unicredit,800265
700266,5147483,5153814,22,Bonifico,Banca Popolare,800266
700267,7201255,7202761,4,Assegno,Intesa San Paolo,800267
700268,962338.79,966383.79,4,Carta di Credito,Unicredit,800268
700269,7656231.06,7663906.0599999996,22,Carta di Credito,Unicredit,800269
700270,1956851.43,1961250.4299999999,22,Assegno,Intesa San Paolo,800270
700271,9150965,9156032,22,Carta di Credito,Intesa San Paolo,800271
700272,3084574,3089699,4,Assegno,Unicredit,800272
700273,5811574,5819063,4,Carta di Credito,Banca Popolare,800273
700274,9281330,9284648,4,Carta di Credito,Banca Popolare,800274
700275,7134599.93,7136984.9299999997,22,Bonifico,Intesa San Paolo,800275
700276,7613823.7,7618635.7000000002,4,Carta di Credito,Intesa San Paolo,800276
700277,4005478,4012761,22,Assegno,Unicredit,800277
700278,5738938,5741678,4,Contanti,Unicredit,800278
700279,1858625.46,1860196.46,4,Contanti,Banca Popolare,800279
700280,2926797,2936037,4,Bonifico,Unicredit,800280
700281,7126763.95,7135054.9500000002,4,Contanti,Unicredit,800281
700282,5033563,5042158,4,Bonifico,Intesa San Paolo,800282
700283,4809654,4812265,4,Contanti,Unicredit,800283
700284,779086.66,781005.66,4,Assegno,Unicredit,800284
700285,4684937,4693587,22,Bonifico,Unicredit,800285
700286,5426430.68,5432524.6799999997,22,Contanti,Intesa San Paolo,800286
700287,1316797.82,1326465.8200000001,4,Contanti,Intesa San Paolo,800287
700288,5869320,5875303,4,Contanti,Banca Popolare,800288
700289,2890538,2891907,4,Assegno,Intesa San Paolo,800289
700290,7784602.95,7792651.9500000002,4,Bonifico,Unicredit,800290
700291,7999670.52,8001798.5199999996,4,Carta di Credito,Unicredit,800291
700292,6512925.95,6516641.9500000002,22,Contanti,Intesa San Paolo,800292
700293,4938962.26,4945405.2599999998,22,Assegno,Unicredit,800293
700294,6182007,6183374,4,Carta di Credito,Unicredit,800294
700295,1907984.92,1913399.9199999999,4,Bonifico,Intesa San Paolo,800295
700296,8950647,8957664,4,Assegno,Unicredit,800296
700297,5212144,5215171,22,Bonifico,Intesa San Paolo,800297
700298,5208442,5217655,22,Assegno,Banca Popolare,800298
700299,9316449,9325626,4,Contanti,Banca Popolare,800299
700300,8665545,8673581,22,Contanti,Unicredit,800300
700301,1163222.52,1169557.52,22,Bonifico,Intesa San Paolo,800301
700302,4409387.36,4412118.3600000003,4,Carta di Credito,Intesa San Paolo,800302
700303,5069003.12,5073207.1200000001,4,Contanti,Intesa San Paolo,800303
700304,2449249.67,2457764.6699999999,22,Contanti,Unicredit,800304
